1971,The Rolling Stones,Wild Horses,https://open.spotify.com/track/52dm9op3rbfAkc1LGXgipW
1972,Ton Steine Scherben,Die letzte Schlacht gewinnen wir,https://open.spotify.com/track/1Qt5I0e5VwHLSiczsQJjPn
1972,Ton Steine Scherben,Der Traum ist aus,https://open.spotify.com/track/568gbsCi6Byp9VnQZmE6OV
1973,ZZ Top,La Grange,https://open.spotify.com/track/70YvYr2hGlS01bKRIho1HM
1974,Dolly Parton,Jolene,https://open.spotify.com/track/2SpEHTbUuebeLkgs9QB7Ue
1974,Kjell Höglund,Man Vänjer Sig,https://open.spotify.com/track/0zIGcj9yqEzRWAiZDQLQFb
1974,Lynyrd Skynyrd,Sweet Home Alabama,https://open.spotify.com/track/4CJVkjo5WpmUAKp3R44LNb
1975,Perry Como,Papa Loves Mambo,https://open.spotify.com/track/62eAoNfrrS84177LOzJMQx
1975,Queen,Bohemian Rhapsody,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY
1976,Adriano Celentano,Svalutation,https://open.spotify.com/track/6WiWM4l2ykD5m9XJr1U1Ku
1976,Eagles,Hotel California,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
1977,Edoardo Bennato,Il gatto e la volpe,https://open.spotify.com/track/5ZSzAggKFjyIL6OLA2xUUg
1977,Fleetwood Mac,Go Your Own Way,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
1977,Ram Jam,Let It All Out,https://open.spotify.com/track/62G8HtIu0aqjJZyR6Ckko3
1977,Ram Jam,Hey Boogie Woman,https://open.spotify.com/track/4x2krRiUEL3GgAJKMaJSF2
1977,Rino Gaetano,Aida,https://open.spotify.com/track/7N1SQcqAkSvUgnlvrU0Et8
1979,AC/DC,Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
1981,Joachim Witt,Goldener Reiter,https://open.spotify.com/track/7sgbBeINoJ4TDUDIloK9li
1981,Journey,Don't Stop Believin',https://open.spotify.com/track/5RKQ5NdjSh2QzD4MaunT91
1981,Soft Cell,Tainted Love,https://open.spotify.com/track/0cGG2EouYCEEC3xfa0tDFV
1982,The Clash,Should I Stay or Should I Go,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz
1983,Michael Sembello,Maniac,https://open.spotify.com/track/0QKfiqpEU4h9ycPSzIFwYe
1984,Les Rita Mitsouko,Marcia Baïla,https://open.spotify.com/track/43THPstJP6RXLMd7ryXyNf
1984,Prince,Purple Rain,https://open.spotify.com/track/1uvyZBs4IZYRebHIB1747m
1985,Kate Bush,Running Up That Hill (A Deal With God),https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR
1986,AC/DC,You Shook Me All Night Long,https://open.spotify.com/track/6yl8Es1tCYD9WdSkeVLFw4
1986,Lucio Dalla,Caruso,https://open.spotify.com/track/6HYm04mKq02OtLMf6sGEFR
1987,Fleetwood Mac,Little Lies,https://open.spotify.com/track/4CoSCPlKNrWli7E5kFtbcl
1987,Fleetwood Mac,Everywhere,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
1987,Fleetwood Mac,Seven Wonders,https://open.spotify.com/track/1VN2vWSkSmMKOhxr8lHzSx
1987,R.E.M.,It's The End Of The World As We Know It,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku
1987,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
1990,A Tribe Called Quest,Can I Kick It?,https://open.spotify.com/track/3Ti0GdlrotgwsAVBBugv0I
1990,Jovanotti,Gente Della Notte,https://open.spotify.com/track/6Rkd5TAFl3gZj1HuXR6FtY
1990,Ram Jam,Black Betty,https://open.spotify.com/track/2ZOTtG7v1OrSNs6EINIGb4
1991,Mano Negra,Out of Time Man,https://open.spotify.com/track/2Ocfrk1syda141tYv7v9lr
1991,R.E.M.,Losing My Religion,https://open.spotify.com/track/74EV0g12ihUoOUXMprFpZB
1992,Cesária Evora,Sodade,https://open.spotify.com/track/7xzMrUmlooPa1Fmp88hlYc
1992,Georg Kreisler,Wien Ohne Wiener,https://open.spotify.com/track/5otJtpkkzt014CfpgRQf0j
1992,Salif Keita,Madan,https://open.spotify.com/track/6fUF3XCIqvZfjtMIEOdHPd
